uid,n_hit,chi,eta,etamul2000,j1A0,j2A0,j3A0,j4A0,kappa,muDc,muK,pEhigh,phiS,pR,pT,rho,sageA15,sigma,theta,zeta
7db2df1d16503b512b9870271347e376,13,0.231878978334688,0.965427874334011,0.4480693884878,0.308480143891901,0.549599336265095,0.59854712314545,0.569863469560409,0.104958134610382,0.165983152345564,0.0121092269051051,0.39778395517279,0.033717337990858,0.732609820483797,0.0011510120418076,0.0476599735194842,0.872784805159943,0.00101793245582246,0.10065994006248,1.65068870573605
e7931c5ba50593c08179cbcce83a1310,13,0.231572598180447,0.957029679315654,0.467213596672026,0.324121031863442,0.630113206592139,0.62841268742843,0.683539367777289,0.10484856220057,0.16655516922169,0.00992906440317856,0.408686366614136,0.0336449217673638,0.732739786035642,0.00118166573117673,0.0495891207372088,0.862963777599372,0.000879805768369397,0.0998713963375224,1.64250087031974
f2018e00b22ad9f0e91565f20a411c87,13,0.243365562209172,0.963884076032108,0.414949809766245,0.346304202117727,0.654333983046299,0.673512531037338,0.648297703123174,0.104629201488744,0.156903910554157,0.0114067686502046,0.413438162581369,0.0340903489593501,0.739527692621615,0.00116962098961537,0.0495714565366072,0.909253147333186,0.00103622238051292,0.100256803153984,1.64997157961284
901a4905f774eaefd1c019bb1c895af6,13,0.173197044272951,0.972020435803432,0.540419887924123,0.58435307964584,0.620460522359344,0.525996256427779,0.504251285867619,0.111193387417695,0.158900320198585,0.0146499686518293,0.43622288721616,0.03027004808292,0.748001848883279,0.00128543123805935,0.0433864858537928,0.895914684435956,0.000615808430270312,0.0963028178720076,1.57088804735296
1c96ade5c30480f8fbe80c4940aa376b,13,0.202771458942497,0.969104359751737,0.627958264785312,0.497854650916541,0.488408151664553,0.582972056907036,0.677542925094481,0.119435516207838,0.167273748361988,0.0183005786170767,0.421538948358683,0.030837690276164,0.683967940624197,0.00127167534611606,0.0475083491397833,0.827368211118473,0.00077936307790003,0.0951017267765679,1.59366458298718
020407a6969f374c0f743e7ad7af0b95,13,0.179538038605347,0.975220937533291,0.524931260986703,0.483050877927291,0.673916856921493,0.2042739128317,0.572889063922141,0.110803632251353,0.159829903754283,0.00953458202557237,0.369152335244755,0.0346930902761841,0.734955362781177,0.00106940020042211,0.0557692243868335,0.824802201148057,0.00105424601748843,0.0847027964211077,1.62317157610809
b16f474195e293b77ea9ae14402c4b0a,13,0.209738736333275,0.907397474896006,0.51462188714951,0.481064287335508,0.689035518103426,0.603306557855995,0.748027485288101,0.109133451034944,0.147253930083081,0.00851318934261652,0.414871311845759,0.037111845134309,0.725222120948245,0.00112768140983291,0.0503379613613565,0.925108986930735,0.000955874687017218,0.0981729455804577,1.60735541503231
502cce07d9d154329b27d11a2bec2433,13,0.205807928156624,0.925598646536781,0.470769604463342,0.399960611766253,0.39791914325837,0.128520614198425,0.628633785050706,0.105671592584798,0.173071100570479,0.00759725877107333,0.4203860801284,0.0341712796955972,0.712513319247171,0.00123339694734438,0.0468917587461203,0.785220729199004,0.000682392344523232,0.0925474847846472,1.64932113089688
62b66b6ea39679cff12899d3d67ac84d,13,0.196304561576687,0.97940177303475,0.342398754821496,0.569503375039803,0.803051458896196,0.356124962254251,0.451541865404195,0.113948569916996,0.162136631067544,0.0187128944334064,0.399704147964626,0.0332477665246097,0.7394178608729,0.00116787102231144,0.0539712020685453,0.88016357957853,0.000784090777776602,0.0833412819956275,1.60442949598438
125ef0ab109392471613c4cfc6997957,13,0.167047660759576,0.90100791971307,0.57035258517011,0.212612811935822,0.810723438275701,0.534059523026155,0.588740605292068,0.129571237005655,0.158332426789597,0.0192755236582017,0.437474338334822,0.0304980649358926,0.667376685249085,0.00114033200581887,0.0559011756555816,0.774878085788373,0.000624415884431557,0.0866279282526785,1.56346545900701
fbf7e9e1fd4d1585351193aa115616f7,13,0.157562107851392,0.978600096282321,0.495646088632448,0.493117397743349,0.686869746299716,0.160507584336127,0.567778004264647,0.107829268112155,0.16682941266505,0.00857971656146995,0.36418745930369,0.0343119316800318,0.75037396977964,0.00105063555280926,0.0551976840029837,0.840525221743352,0.001104229826368,0.0837253193603101,1.63106094995646
f753452488280ff37a38640dffb6f750,13,0.204066699419091,0.940600646344213,0.484294751064087,0.492465672999527,0.360860412415953,0.127641839035003,0.659160897745881,0.108628885350974,0.171840110089498,0.00804991767085053,0.408112449756684,0.0337961909750715,0.719627217871152,0.00121728440703581,0.0484699976822702,0.761751861037014,0.000690918891042746,0.090652445230654,1.6541618783022
f2df72e75b889d07e250a299c3de996b,13,0.124354466540496,0.928251185823866,0.491161025541316,0.415902588986447,0.629674590933912,0.433694684038398,0.559071974412256,0.106804611680136,0.148609443195489,0.01685483027012,0.427321856042835,0.0327686571278179,0.719347219782561,0.00113575273663072,0.0489624853706944,0.893880710234869,0.000535354225747107,0.0883659547106948,1.6039665108011
c7550f06b840123624438e8559e3d01a,13,0.165499398168478,0.964806469716065,0.538617765509763,0.467948621004737,0.703199207213796,0.152629606296221,0.553958806498882,0.112333850357605,0.172804523722042,0.00964187238855651,0.373484867676689,0.0339727082826388,0.744768783403485,0.00112782090854044,0.0520705800344752,0.813370047929315,0.00103305335831477,0.0840266656816728,1.63533638386855
bd1499d76b08c9702dc511fe7f047c17,13,0.184799418386432,0.883688291618603,0.513285650904038,0.364155788803689,0.431679382445657,0.382349246784774,0.71555134732238,0.12777778877929,0.145272566767476,0.0157353167687773,0.384512703456686,0.031865652527111,0.721084429486892,0.00108382377027566,0.0430123104199931,0.825593534862748,0.000876087129875892,0.0986041238698841,1.65149831685881
a3d197ab82730b507f19c5f439c79847,13,0.155976891787514,0.977112433796904,0.522110234392876,0.469144464495753,0.645031612534588,0.151682411189381,0.566556274434285,0.115469300252159,0.167058536509513,0.00923394678704339,0.368171505468161,0.0343512279913968,0.750445786534306,0.00105329180979941,0.0541538738838871,0.834986401014571,0.00109231936099418,0.0865820778458249,1.61550144357805
f4d830e8b74621b40c85326f604632cf,13,0.196983410415789,0.95696878341509,0.630389644835616,0.442617212538442,0.49584911506407,0.534267517473661,0.661060496605843,0.118040713156984,0.16844311498127,0.020519987605223,0.416390839958486,0.0317793244420643,0.679235887413957,0.00123933930796653,0.0480151276143545,0.843507819893774,0.000705776717763916,0.0963646056520946,1.59645735499216
32b18a8003106335fbaee679517eb7dd,13,0.191461309098229,0.964159805406733,0.623840960773214,0.501357201896731,0.463549022035017,0.692331062434927,0.704561366056586,0.121102470478934,0.169324835912175,0.0196593103566378,0.41933164051269,0.0316046823057786,0.667668566528058,0.00124735339630523,0.0470588803486289,0.83177274970855,0.000718918287928493,0.09569742366665,1.61067472840565
5e38f3d050bf61c425e4ae0dd0316292,13,0.129009250408941,0.922310931903169,0.532714385798544,0.40338013376534,0.583213643401005,0.456388177359193,0.573475360229447,0.104921215977146,0.143423548130026,0.0180368315572549,0.4311528082689,0.0330818043989415,0.70843478587825,0.00115242011367203,0.0493068826342287,0.87792072147889,0.000447313907345702,0.0885118686346753,1.60734774152629
32615d442672cf18569a8eec1362451f,13,0.113282697545142,0.955431626865164,0.387088715164004,0.581408851876898,0.417720418752802,0.376522804991753,0.729893477481128,0.129438651655825,0.133348514046869,0.0122020681073077,0.3681343755492,0.0373412859104669,0.719310516789351,0.00096536982481751,0.0457994730926766,0.831623477449477,0.000482387213312115,0.0866404455871404,1.60688265462735
36d2d6776dbb166450acdd405485b70f,13,0.144480480348616,0.932180217164671,0.529099182894605,0.584435408486923,0.654500398367124,0.664449911376796,0.442578306288848,0.12041902819508,0.163207660713938,0.0197418173367973,0.387062864595221,0.0340635113990362,0.738728143997082,0.00117947624578298,0.0362350006757214,0.78893539208567,0.000724687435318721,0.092892173471154,1.65288056170211
1a5ceb3a152a0f5e3a9b7258f63ce5b8,13,0.19067700264629,0.878289651506879,0.500332217765997,0.425189052813497,0.401974799896273,0.332379976248646,0.724513407421356,0.125693661105588,0.133529317323278,0.013060454212363,0.385251116478899,0.031736229735016,0.709786454171971,0.00104458940643701,0.0444806146696146,0.855188754109664,0.000868790622688706,0.0984744036521916,1.64993851994214
