uid,n_hit,chi,eta,etamul2000,j1A0,j2A0,j3A0,j4A0,kappa,muDc,muK,pEhigh,phiS,pR,pT,rho,sageA15,sigma,theta,zeta
1,0,0.175,0.5,0.5,0.5,0.5,0.5,0.5,0.0675,0.089,0.014,0.5,0.03605,0.725,0.0034,0.04,0.5,0.0006325,0.0903,2
29ad96ca98c0300a983472870920f535,15,0.141057134,0.944874364,0.435868001,0.362820775,0.61091602,0.912432411,0.458044385,0.109349721,0.166702583,0.012621568,0.380707784,0.045641158,0.833604419,0.001180144,0.024949431,0.795127851,0.000662977,0.090776015,1.754939573
81f49b1d78eed05944315c2ea09bc7c1,14,0.153182258,0.802719479,0.47650648,0.576357002,0.879581185,0.80610923,0.66070828,0.047224317,0.156229158,0.010352853,0.394600776,0.038008859,0.665770273,0.000783526,0.032638347,0.943873342,0.000816401,0.107868313,0.719570604
e1fa8fd0acfea921a98f3998b33d1cef,14,0.124853565,0.826314336,0.236119202,0.855939023,0.953732228,0.892853302,0.789073961,0.097739719,0.111070935,0.009152288,0.415513698,0.039219392,0.748346176,0.000526156,0.064163004,0.840131958,0.000272737,0.10121404,0.522589736
ca8e1bea634d084c0ad500379cfa063d,14,0.178824917,0.779960202,0.572359796,0.792752364,0.783005822,0.750782159,0.541014611,0.122156841,0.126644125,0.020287802,0.353194874,0.036381343,0.76237116,0.000794471,0.052663199,0.820513462,0.000904099,0.091347624,1.480940378
b26212d51f98270dfb7b3aad277be359,14,0.126050358,0.493017664,0.426981498,0.297587811,0.596925891,0.445348321,0.606121459,0.083185799,0.171404641,0.016508356,0.422638869,0.031432568,0.793227065,0.000897011,0.033332175,0.527235844,0.00100877,0.077852111,0.954086026
4ea853e45ef5a9eee90011a5eb0e18f7,14,0.167572963,0.802017488,0.3789739,0.722854631,0.095121892,0.60513601,0.840484514,0.118639983,0.081037699,0.020397315,0.432455339,0.03674058,0.738554547,0.000840371,0.062916782,0.857344095,0.00038575,0.080969586,1.097788535
f3f37ca710e47d0cd046b2e1662e5322,14,0.144160217,0.985688969,0.53388809,0.443577631,0.515251242,0.825445907,0.475767422,0.114128946,0.161321433,0.012862982,0.360608806,0.045199027,0.822879298,0.001189453,0.025060446,0.757251292,0.00065937,0.090010964,1.712746673
