uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiH,phiHmul2010,phiS,pR,pT,rho,sageA15,sigma,smul,theta,zeta
eba0821526074cf65f604d2fff5f9138,35,4.805846024,1.665822145,2.199757129,0.562839137,1.517763835,28.84785241,0.100643693,0.140705051,1.123874246,0.485871394,0.953926795,0.964027237,0.890897433,0.975271837,0.083884618,1.196979552,0.163225639,0.007437194,0.077710671,0.013633114,0.925552315,0.313120944,1.408668538,1.4999426,0.046310445,0.602477049,0.000586298,0.00663782,0.926547714,0.001096217,0.824982127,0.110174699,0.433560174
1a2c60bd2c14bafba4b79898bb506ac7,35,4.807835671,1.659735078,2.189792345,0.552070519,1.512090044,28.80645984,0.100314651,0.139598183,1.113654924,0.485180622,0.954627153,0.967410322,0.893670955,0.977002479,0.084340354,1.196676685,0.163314781,0.007412096,0.076761376,0.013651306,0.931450803,0.309571966,1.389521646,1.502050813,0.046274032,0.602960131,0.000573978,0.00648637,0.923510184,0.001097725,0.82692445,0.110035923,0.414541092
be73e77ac5cf429a617c846077ced903,35,4.784352337,1.644341237,2.170421826,0.565477896,1.50069894,28.93255763,0.100984754,0.143615875,1.115985511,0.482006331,0.958228191,0.971974103,0.898588489,0.970856887,0.083630335,1.191385123,0.162215644,0.00739404,0.07869168,0.013461797,0.953144183,0.312819728,1.438055173,1.513375996,0.046313467,0.602736486,0.000586753,0.006716018,0.931053841,0.001100419,0.828276318,0.109533247,0.445506249
9950990045dae2f3260b880aee85b7e8,35,4.793746348,1.651569428,2.190117253,0.563918722,1.507047884,28.99300435,0.101797827,0.135861236,1.120235271,0.477860341,0.954555463,0.974781001,0.899562224,0.970770844,0.084170103,1.186332878,0.162261853,0.007436748,0.076777243,0.013312458,0.960259179,0.314908412,1.438616172,1.48509358,0.046260595,0.60280184,0.000590148,0.006702897,0.92622989,0.0010972,0.823465072,0.109737093,0.455983619
b233ecd413cc0dbf6e2e0e77f1f6d251,35,4.813892103,1.652828352,2.161666795,0.565325589,1.502928457,29.05176593,0.102307114,0.14151675,1.124716348,0.476256804,0.95930589,0.972610739,0.902140871,0.96544969,0.085900837,1.195390701,0.1617576,0.007454802,0.077565813,0.013142375,0.966806955,0.311524799,1.448720001,1.489265997,0.046303589,0.604389819,0.000578983,0.006898349,0.927654696,0.001096002,0.81622912,0.109871728,0.428154923
692610e733b231f9a74e1e88a87049f0,35,4.804659393,1.646151597,2.175269335,0.561781524,1.501529465,29.15393076,0.102717161,0.135598451,1.133771537,0.480808381,0.964669831,0.968198443,0.906970549,0.964794081,0.086643792,1.197485709,0.162148143,0.007465962,0.07882061,0.013218273,0.96110749,0.310305592,1.431209452,1.490926879,0.04636957,0.604032296,0.00057967,0.007075174,0.923189545,0.001094281,0.821231669,0.109686984,0.445717981
ba881c6ad23c321c8692c8559f27f06e,35,4.671731853,1.764101939,2.136266953,0.431045458,1.44442341,28.66419979,0.110006944,0.164652677,1.114398803,0.484478677,0.943416498,0.93274017,0.932323595,0.996449118,0.083915094,1.184106283,0.156469656,0.00701684,0.065719328,0.015545638,0.954459704,0.349626342,1.352280838,1.604381314,0.045079126,0.602146758,0.000647608,0.005055953,0.948956376,0.001094644,0.848535594,0.109861557,0.37681032
7fa9b036a3481bef6d7ce036c41676ec,35,4.65068638,1.771398427,2.121007503,0.418882468,1.441939719,28.87089034,0.110045103,0.166492409,1.114266934,0.48861189,0.939628483,0.928622941,0.933168944,0.999505627,0.083797881,1.177859934,0.15661183,0.007008037,0.065752519,0.015823582,0.955936453,0.350634156,1.331945806,1.61679282,0.045005399,0.603776709,0.000651554,0.005034307,0.949206852,0.001096209,0.850906122,0.109870025,0.376197606
ce286474c7e57700199adf9c7c101e7f,35,4.718817374,1.769271436,2.131914619,0.470483971,1.436501088,28.61617482,0.110624542,0.164999552,1.105087848,0.481629187,0.93338377,0.935896755,0.928995226,0.998501881,0.081978772,1.181561138,0.15496905,0.007118659,0.068273971,0.015462681,0.948811442,0.352189376,1.363498695,1.53360954,0.045295688,0.601907178,0.000652701,0.005328049,0.957815744,0.001103851,0.856733459,0.110438824,0.392199915
7d6c4821946f6ee553ad5ac12ff3e377,35,4.66799915,1.70876377,2.241630639,0.34264027,1.456738836,28.64607608,0.10613166,0.198072197,1.096871146,0.494795691,0.974476381,0.96694691,0.942320242,0.977278848,0.081186748,1.178909342,0.162501493,0.007047574,0.060965198,0.015212599,0.976034395,0.340293963,1.296568763,1.743334601,0.044445072,0.602091111,0.000642166,0.005338805,0.916389887,0.001082401,0.812309907,0.109389034,0.420610654
