uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiH,phiHmul2010,phiS,pR,pT,rho,sageA15,sigma,smul,theta,zeta
8350e2e58199b784bcc14a4d63f32419,31,2.923612607,0.048913202,0.27003521,2.054565379,0.318439301,15.87520107,0.170557313,0.29921549,0.739904628,0.922943402,0.568713114,0.259216493,0.524345854,0.275232219,0.216080623,1.286664593,0.152450105,0.008905539,0.214487087,0.010808365,0.330181882,0.37523178,3.646222181,2.651838655,0.039148155,0.812202208,0.001235229,0.030460283,0.769526833,0.000536617,1.31972829,0.077371473,0.565120439
a9317c62a8a360966dccc288dedf4560,31,3.83864987,1.213217528,1.34453318,0.412316493,1.359293894,15.16420706,0.169763516,0.482829872,0.42902489,0.367070464,0.533569264,0.773099221,0.441011318,0.536249893,0.151323911,1.038321406,0.123928178,0.004258498,0.034113887,0.018878111,1.543374568,0.352144025,0.877730994,4.017828352,0.042506748,0.782308162,0.00114861,0.020492644,0.617301787,0.000771816,0.532080182,0.094092086,9.012398651
2bc64961865e7f8844fc374f0b260664,31,4.299345761,0.462405858,1.238547562,1.321995503,0.563633851,15.13815944,0.196791904,0.383738627,0.4593836,0.612738564,0.497951845,0.974003912,0.646692234,0.5316928,0.155789564,1.148605005,0.144694719,0.002765599,0.051270137,0.005644145,0.676716195,0.384966229,2.659695783,4.266532658,0.035776856,0.790506204,0.001443399,0.012740067,0.65799076,0.000843921,1.328704227,0.072894414,0.973830786
